src,dst,times
1397,13144,0.010944366455078125
1613,3871,0.010202646255493164
7658,1818,0.010173797607421875
11073,5646,0.009254693984985352
6403,9147,0.010263442993164062
2790,11713,0.010180473327636719
44,6339,0.00923466682434082
11194,5845,0.011265039443969727
736,6166,0.009202241897583008
1332,10169,0.011505842208862305
2045,11142,0.011214494705200195
2885,6862,0.009320259094238281
10803,13177,0.011271953582763672
2485,1496,0.011273860931396484
6505,13802,0.008946657180786133
6391,2534,0.015216588973999023
2799,8099,0.011350631713867188
2857,7728,0.007302999496459961
3451,2024,0.008206605911254883
745,13608,0.009004831314086914
5607,771,0.00925445556640625
502,3148,0.007222175598144531
5858,3468,0.009230375289916992
11087,8306,0.007271766662597656
11982,7296,0.008201360702514648
5996,277,0.008008003234863281
3734,500,0.009211301803588867
4075,7053,0.0082855224609375
6276,657,0.010251760482788086
10161,13430,0.008209466934204102
1400,5596,0.009008407592773438
11911,3728,0.007973432540893555
11934,884,0.007985353469848633
3300,403,0.007210731506347656
7399,9126,0.009250640869140625
3650,3541,0.00726008415222168
7662,13757,0.008239984512329102
11198,1843,0.006980419158935547
2690,6075,0.008238554000854492
3049,3213,0.008237838745117188
6048,488,0.019291162490844727
6792,2600,0.008223295211791992
7081,4287,0.00820469856262207
4247,1378,0.009017705917358398
1302,6204,0.007212400436401367
6362,7026,0.008257627487182617
3449,1530,0.008191108703613281
5864,1263,0.009162187576293945
3620,3750,0.010198593139648438
10164,173,0.008006095886230469
3886,3381,0.009295463562011719
17,5831,0.008975982666015625
470,9866,0.00936269760131836
3773,12931,0.007290840148925781
6955,2285,0.010207653045654297
13545,7622,0.009225130081176758
1639,6192,0.011169195175170898
1770,5689,0.01227569580078125
6845,1247,0.010492801666259766
7161,13477,0.009010553359985352
7068,112,0.010135650634765625
8181,617,0.012511968612670898
8604,3470,0.009365558624267578
1926,2486,0.00926661491394043
3297,3345,0.008991241455078125
1680,1414,0.007950782775878906
13754,4184,0.008258581161499023
8965,2981,0.008249282836914062
6909,39,0.00919198989868164
295,3731,0.008223772048950195
9832,6386,0.008944272994995117
3632,978,0.01014852523803711
6824,367,0.012234210968017578
7035,7855,0.012117624282836914
574,571,0.011174201965332031
8103,3267,0.011138200759887695
2814,1401,0.01214289665222168
3861,3103,0.012224674224853516
3540,4088,0.01608586311340332
1454,5940,0.010972261428833008
143,2054,0.009136199951171875
3520,3586,0.00920414924621582
7412,1100,0.009233236312866211
11914,12046,0.008214712142944336
218,2221,0.008259057998657227
11200,7453,0.009256362915039062
2995,707,0.008229494094848633
7317,3677,0.009012222290039062
1138,7253,0.009160995483398438
2353,3557,0.009234189987182617
14101,7906,0.008264780044555664
55,13072,0.00820469856262207
11452,3115,0.00922083854675293
11913,9904,0.008297920227050781
5848,5717,0.008948087692260742
6312,4299,0.008264780044555664
5753,11076,0.007982730865478516
2685,4041,0.008236408233642578
2013,1143,0.008223533630371094
8550,3706,0.008138656616210938
11868,6833,0.00801229476928711
11815,1322,0.00921487808227539
2134,1498,0.009254693984985352
5718,4153,0.012134313583374023
2228,3298,0.011300325393676758
1671,2556,0.008943319320678711
795,7870,0.009172439575195312
5434,3214,0.009152650833129883
552,5831,0.008237123489379883
3997,1161,0.009101390838623047
2000,13404,0.009196281433105469
3387,2051,0.00913381576538086
1308,3987,0.009972572326660156
11583,3213,0.00921487808227539
6158,8351,0.009124279022216797
8221,3790,0.008976459503173828
9239,2545,0.00817728042602539
7599,810,0.008175134658813477
267,13368,0.008126497268676758
5909,1536,0.008147716522216797
6752,2484,0.009083986282348633
8669,7355,0.008189678192138672
625,5589,0.007979631423950195
8519,8284,0.008150100708007812
5415,10107,0.00714421272277832
7579,1912,0.00811314582824707
4108,60,0.008265972137451172
3097,6949,0.009261608123779297
3621,696,0.009008646011352539
3228,12957,0.008219242095947266
1096,3668,0.008164405822753906
869,4335,0.007976055145263672
12042,11970,0.007976055145263672
8835,13311,0.007987499237060547
1315,6400,0.007266521453857422
7325,265,0.008215665817260742
2845,7126,0.008142948150634766
5942,6862,0.010125398635864258
740,349,0.01407313346862793
281,8130,0.013095378875732422
3394,8115,0.010085821151733398
9138,4271,0.010167837142944336
6213,1,0.011376380920410156
853,10116,0.008976221084594727
3386,2148,0.007236957550048828
2860,6434,0.009234189987182617
9795,3550,0.008264780044555664
1895,1806,0.008995532989501953
1112,4319,0.008947610855102539
11911,90,0.008300542831420898
6464,7336,0.00794529914855957
1518,3928,0.008296012878417969
3540,1518,0.018257617950439453
5862,12946,0.008146524429321289
2762,844,0.008225202560424805
2863,2737,0.008111238479614258
6089,1541,0.010137081146240234
911,3941,0.009179353713989258
7185,11986,0.007980585098266602
1189,7161,0.008131027221679688
6292,4280,0.00829315185546875
2711,3640,0.008265972137451172
973,2589,0.008266448974609375
9093,175,0.008946657180786133
1015,11178,0.008004903793334961
3519,594,0.00795125961303711
1794,94,0.007274627685546875
1080,8223,0.009217977523803711
4064,3757,0.008228063583374023
6478,9794,0.007016897201538086
13626,4206,0.008221626281738281
1622,3042,0.007977724075317383
2692,3929,0.0082244873046875
11545,331,0.006974935531616211
7564,7475,0.008196830749511719
14109,11912,0.0072612762451171875
11258,5943,0.009175300598144531
2961,11928,0.008246660232543945
3374,2850,0.009285449981689453
602,7809,0.007973670959472656
3323,11765,0.008254289627075195
514,3698,0.00825190544128418
8274,1642,0.009234428405761719
12392,458,0.007975101470947266
6724,6262,0.009977340698242188
5624,7406,0.006974935531616211
5482,1438,0.009950399398803711
6766,6194,0.009266138076782227
11985,13723,0.008214235305786133
3281,4360,0.0072553157806396484
8267,1948,0.007265806198120117
3553,7381,0.008264303207397461
596,7898,0.007965564727783203
3237,57,0.009287357330322266
9103,6391,0.008232831954956055
919,2871,0.008243799209594727
1507,6208,0.008235931396484375
1395,8244,0.008237838745117188
3776,282,0.00899195671081543
897,6190,0.0072557926177978516
1033,8255,0.009203195571899414
5845,7206,0.008249521255493164
13356,4179,0.007977724075317383
1291,2893,0.007978439331054688
1780,6185,0.008977413177490234
6224,2347,0.008980751037597656
8612,6379,0.00818181037902832
2663,4132,0.007785320281982422
1098,1413,0.00821375846862793
1949,362,0.00797414779663086
8742,1137,0.008120536804199219
2499,7514,0.0072078704833984375
1231,405,0.007237434387207031
7730,839,0.008239030838012695
6899,615,0.007960081100463867
7135,1524,0.009300708770751953
3029,3581,0.008238792419433594
9901,3119,0.007272243499755859
4229,6003,0.008224010467529297
13269,3901,0.007983207702636719
7556,11095,0.008163213729858398
2388,121,0.008284807205200195
1202,5750,0.00919485092163086
2722,5762,0.008976221084594727
724,2442,0.009240865707397461
3592,3629,0.00825357437133789
4131,6144,0.008220434188842773
6931,3818,0.008014202117919922
1432,5468,0.008272647857666016
1813,1367,0.008295297622680664
3904,2993,0.009257793426513672
7361,14097,0.008804082870483398
3284,559,0.006976604461669922
5704,9411,0.008196592330932617
957,13032,0.008159875869750977
896,1478,0.007281780242919922
5943,242,0.008222579956054688
1487,11832,0.00700831413269043
3172,6305,0.008279800415039062
1546,5430,0.007245063781738281
463,1479,0.00917816162109375
8808,213,0.008010625839233398
5468,1388,0.007945537567138672
2829,2512,0.007272481918334961
8975,6464,0.006971597671508789
2513,3145,0.008234262466430664
3289,989,0.008207559585571289
8253,2889,0.00700831413269043
3125,3496,0.015488624572753906
